,Content_zh-TW,Content_en,Content_ja
1,既然是神祕的煉金術師，肯定有不尋常的東西,"Since this is a mysterious alchemist, there must be something unusual.",神秘的な錬金術師なら、きっと何か異常なものがあるはず。
2,機器似乎都很複雜，先從小東西開始吧,"The machines seem complicated, so let's start with something small.",機械は複雑そうだから、まずは小さなものから始めよう。
3,也許該去書桌看看,Maybe I should check the desk.,机の上を調べたほうがいいかもしれない。
4,房間的機器很特別，但似乎沒有啟動,"The machines in the room are special, but they don’t seem to be activated.",部屋の機械は特別だが、まだ起動していないようだ。
5,窗邊有台機器似乎有著燭座,There's a machine by the window that appears to have a candle holder.,窓際に燭台のようなものがついた機械がある。
6,應該可以找個方便手持的蠟燭點燃燭座,I should find a conveniently sized candle to light it.,手に持ちやすいロウソクを見つけて灯せばいいはず。
7,剛剛啟動的機器應該有助於理解煉金術師的謎團,The machine that just activated should help unravel the alchemist's mystery.,さっき起動した機械が、錬金術師の謎を解く手助けになるかもしれない。
8,那台機器太不尋常，應該有操作說明才對......,That machine is too unusual; there should be an instruction manual…,あの機械は異常すぎる…操作説明があるはず……。
9,那台機器旁邊的椅子似乎有一張紙捲......,There seems to be a scroll on the chair next to the machine...,あの機械の横の椅子に巻物があるようだ……。
10,已經明白提取器的原理了，那麼這個空間應該有可以提取的東西,"Now that I understand how the extractor works, there must be something here to extract.",抽出器の仕組みは分かった、この部屋には抽出できるものがあるはずだ。
11,不愧是煉金術師，文件真多，有些還有奇特的符號,"As expected of an alchemist, there are so many documents, some with strange symbols.",さすが錬金術師、書類が多い…中には不思議な記号があるものも。
12,有文件記載的東西應該相對重要，優先放在平台上試試看好了,"The information recorded in the documents seems important, so I should prioritize testing them on the platform.",書類に記載されたものは重要そうだ、まずは台に置いて試してみよう。
13,啟動了一台機器，另一台靠窗的機器更複雜也令我在意,"I activated one machine, but the other by the window is more complex and intriguing.",ひとつの機械を起動したが、窓際のもう一台はさらに複雑で気になる。
14,這台機器更為複雜，應該也有操作說明......,This machine is even more complicated; there should be an instruction manual…,この機械はさらに複雑だ…操作説明があるはず……。
15,或許我該拉動下半部的抽屜看看,Maybe I should pull open the lower drawer and take a look.,下の引き出しを開けてみた方がいいかもしれない。
16,桌上那個裝置也很令人在意,That device on the table also catches my attention.,机の上の装置も気になるな。
17,裝置的凹槽似乎可以嵌入玻片......還有著圖案，莫非是要吻合嗎？,The groove on the device appears to hold a slide… It has patterns—do they need to match?,この装置の溝にスライドガラスがはまりそうだ…模様がある、もしかして一致させる必要が？
18,似乎不只是要吻合，矮櫃的紙捲或許有更詳細的說明,It’s not just about matching—maybe the scroll in the cabinet gives more detailed instructions.,ただ合わせるだけではなさそうだ。キャビネットの巻物に、もっと詳しい説明があるかもしれない。
19,剛剛只操作了機器的平台部分，上半部似乎還有其他功能......,I only operated the platform part of the machine; the upper section seems to have other functions…,さっきは機械の台座部分だけを操作したが、上部にも何か機能がありそう……。
20,剛剛只理解了這台機器的平台部分，上半部難道沒有解說嗎？,I only understood the platform part of this machine; is there no explanation for the upper section?,この機械の台座部分だけは理解したが、上部の説明はないのか？
21,那台機器旁邊的矮櫃似乎有一張紙捲......,There seems to be a scroll in the cabinet next to the machine...,機械の横のキャビネットに巻物があるようだ……。
22,剛剛的鎔鑄箱似乎不止一個凹槽,The casting box from earlier seems to have more than one slot.,さっきの鋳造ボックスには、どうやら複数の溝があるようだ。
23,剩下的這個凹槽圖形更加複雜，該怎麼做？,The remaining groove pattern is even more complex—what should I do?,残ったこの溝の模様はさらに複雑…どうすればいい？
24,如果概念一樣，應該也要投入什麼東西才對，剛剛的鑰匙應該能打開些什麼......,"If the concept is the same, something else probably needs to be inserted as well. That key from earlier should unlock something...",同じ仕組みなら、何かを投入する必要があるはずだ。さっきの鍵で何かを開けられるかもしれない……。
25,產出的投影鏡片，直接肉眼查看似乎沒有意義，可能需要結合其他東西才有作用,The resulting projection lens doesn’t seem meaningful when viewed with the naked eye—it might need to be combined with something else to function.,出力された投影レンズは、肉眼で見ても意味がなさそうだ。何か他のものと組み合わせる必要があるかもしれない。
26,那台調整玻片的機器可以投影軌跡，或許有隱藏空間可以安裝,That machine for adjusting the lens plates can project a trajectory—perhaps there’s a hidden compartment where it can be installed.,あのスライド調整機は軌跡を投影できる。もしかすると、どこかに隠された設置スペースがあるのかもしれない。
27,成功投影出軌跡以後，或許我該嘗試模仿......,"After successfully projecting the trajectory, maybe I should try to replicate it...",軌跡の投影に成功したら、それを真似してみるべきかもしれない……。
28,這個空間只剩下一台令人在意的機器了,There's only one machine left in this space that catches my attention.,この部屋で気になるのは、残り一台の機械だけだ。
29,如此龐大的機器，不可能沒有操作說明......,A machine this massive must have an instruction manual…,これほど巨大な機械、操作説明がないはずがない……。
30,不遠處放在地上的箱子似乎有一張紙捲......,There seems to be a scroll in the box on the floor nearby...,近くの床に置かれた箱にも、巻物があるようだ……。
