,Name_zh-TW,Name_en,Name_ja,Content_zh-TW,Content_en,Content_ja
EXTRACT,,,,,,
E1001,隕石,Meteorite,隕石,沉重且帶有火紅色紋路的石頭，估計是真正的隕石，不知道從何而來，又或是用多少錢購得的？,"A heavy stone with crimson patterns, likely a real meteorite. Its origin is unknown, nor is it clear how much it was purchased for.",重くて赤い模様の入った石、おそらく本物の隕石だろう。どこから来たのか、いくらで購入されたのかは不明だ。
E1002,酒瓶,Wine Bottle,不明な酒瓶,可飲用的酒，似乎烈性極強，隔著軟木塞都能聞到味道，如果室內著火，這瓶酒大概會成為最強的催化劑吧,"A drinkable liquor that seems incredibly strong, as its scent can be smelled through the cork. If a fire breaks out indoors, this bottle might become the most powerful catalyst.",飲める酒であり、非常に強い酒らしく、コルク越しに香りが感じられる。もし室内で火事が起きれば、この酒は最強の触媒になるかもしれない。
E1003,木炭,Charcoal,木炭,常見的燃料，對於助燃相當有幫助,"Common fuel, quite helpful in aiding combustion.",一般的な燃料で、燃焼を助けるのに非常に役立つ。
E1004,金幣,Coin,金貨,經數度冶煉而成的金幣，中央刻意鑄造成太陽圖騰，雖做工精細卻無法用於日常交易,"A coin refined multiple times, with a deliberately crafted sun totem in the center. Despite its fine craftsmanship, it cannot be used in daily transactions.",何度も精錬されたコインで、中央に太陽のトーテムが意図的に刻まれている。精巧に作られているが、日常の取引には使えない。
KEY,,,,,,
K0001,記憶鑰匙,Memory Key,記憶の鍵,開啟通往煉金術士的記憶之門的鑰匙,A key that unlocks the door to the memories of the alchemist.,錬金術師の記憶の扉を開く鍵。
K1001,燭台,Candlestick,燭台,可以手持的燭台，方便照明或點燃其他蠟燭,"A handheld candlestick, convenient for lighting or igniting other candles.",手持ち可能な燭台で、照明や他のろうそくに火をつけるのに便利。
K1002,灼石,Scorched Stone,焼けた石,外表如燒灼般的奇異石頭，雖溫度極高但勉強可以手持,"An unusual stone with a scorched appearance, extremely hot but barely manageable to hold.",表面が焼けたような奇妙な石で、非常に高温だが、なんとか手で持てる。
K1003,未知的鑰匙,Unknown Key,未知の鍵,從大小判斷，比起開門，更像是開啟某個盒子鎖孔的鑰匙,"Judging by its size, it seems more like a key for opening a box than for unlocking a door.",大きさから判断すると、扉を開けるというより、何かの箱の鍵穴に使う鍵のようだ。
