,READCode,READItemName,Chapter,DefaultUnlock,Page,Side,FillBlank
1,R0001,煉金術士檔案,1,FALSE,1,Left,1
2,R0002,任務紙條,1,FALSE,1,Left,2
3,R0003,物質研究報告,1,FALSE,1,Left,3
4,R0004,玻片生產說明書,1,FALSE,1,Right,1
5,R1001,隕石墜落新聞,1,FALSE,1,Right,2
6,R1002,真陽酒,1,FALSE,2,Left,1
7,R1003,蒸氣火車傳單,1,FALSE,2,Left,2
8,R1004,鍊金公式圖,1,FALSE,2,Right,1
9,R1005,銀月蜜酒,1,FALSE,2,Right,2
10,R1006,雷光啤酒,1,FALSE,3,Left,1
11,R1007,晨星烈酒,1,FALSE,3,Left,2
12,R1008,赤焰葡萄酒,1,FALSE,3,Right,1
13,R1009,計算器提示,1,TRUE,3,Right,2
14,R1010,鎔鑄器提示,1,FALSE,3,Right,3
15,R1011,提取器提示,1,TRUE,4,Left,1
16,R1012,驗證器提示,1,TRUE,4,Right,1
17,R1013,計算器提示- 合成,1,TRUE,4,Right,2
18,R1014,最終圖形提示,1,FALSE,4,Right,3
19,R1015,隕石提取紀錄,1,FALSE,5,Left,1
20,R1016,酒瓶提取紀錄,1,FALSE,5,Left,2
21,R1017,木炭提取紀錄,1,FALSE,5,Left,3
22,R1018,金幣提取紀錄,1,FALSE,5,Right,1
